Institution,Total Cost of Attendance,Full-Time Undergrads,Full-Time Nonresident Aliens ,Percentage of Nonresident Aliens to All Undergrads,Policy: Need-based,Policy: Merit,Policy: No Aid,Percentage of Nonresident Aliens Receiving Aid,Average Aid Award,Average Cost with Aid,Expected Cost
Emory and Henry C.,50367.0,50367.0,4.0,1.0,False,True,False,100.0,21875.0,28492.0,28492.0
Ohio U.,28570.0,28570.0,346.0,2.0,False,True,False,0.0,0.0,28570.0,28570.0
Westminster C. (UT),48484.0,48484.0,80.0,4.0,True,True,False,93.0,19816.0,28668.0,30154.0
Cal. State Poly. U. - Pomona,28891.0,28891.0,1607.0,7.0,False,True,True,0.0,0.0,28891.0,28891.0
Warren Wilson C.,52504.0,52504.0,12.0,2.0,True,True,False,100.0,23586.0,28918.0,28918.0
Colorado C.,73600.0,73600.0,184.0,9.0,True,True,False,59.0,44485.0,29115.0,47247.0
Grinnell C.,67646.0,67646.0,323.0,19.0,True,True,False,62.0,38487.0,29159.0,43696.0
Washington U. in  St. Louis,76910.0,76910.0,551.0,8.0,True,True,False,12.0,47748.0,29162.0,71191.0
Bard C.,75112.0,75112.0,207.0,11.0,True,True,False,44.0,45871.0,29241.0,54725.0
Hope C.,48680.0,48680.0,71.0,2.0,True,True,False,93.0,19201.0,29479.0,30831.0
Utica C.,36860.0,36860.0,30.0,1.0,False,True,False,100.0,7267.0,29593.0,29593.0
Texas Christian U.,68414.0,68414.0,463.0,5.0,True,True,False,59.0,38695.0,29719.0,45431.0
U. of Rhode Island,30073.0,30073.0,195.0,1.0,False,True,True,0.0,0.0,30073.0,30073.0
U. of St. Thomas,45756.0,45756.0,165.0,11.0,True,True,False,78.0,15673.0,30083.0,33598.0
Wheaton C. (IL),51130.0,51130.0,78.0,3.0,True,True,False,69.0,20997.0,30133.0,36594.0
Stetson U.,65698.0,65698.0,183.0,6.0,True,True,False,88.0,35541.0,30157.0,34430.0
Elon U.,51049.0,51049.0,148.0,2.0,False,True,False,66.0,20867.0,30182.0,37232.0
Gonzaga U.,62024.0,62024.0,64.0,1.0,False,True,False,89.0,31835.0,30189.0,33671.0
Knox C.,60136.0,60136.0,221.0,17.0,True,True,False,100.0,29940.0,30196.0,30196.0
C. of Charleston,30260.0,30260.0,87.0,1.0,False,True,True,0.0,0.0,30260.0,30260.0
U. of Michigan - Ann Arbor,30298.0,30298.0,2107.0,7.0,False,True,True,0.0,0.0,30298.0,30298.0
Goucher C.,62130.0,62130.0,43.0,3.0,True,True,False,100.0,31629.0,30501.0,30501.0
Clemson U.,30866.0,30866.0,132.0,1.0,False,True,True,0.0,0.0,30866.0,30866.0
U. of Cal. - Merced,36020.0,36020.0,572.0,7.0,False,True,False,2.0,5000.0,31020.0,35906.0
Georgia Inst. of Technology,31080.0,31080.0,1375.0,10.0,False,True,True,0.0,0.0,31080.0,31080.0
Lake Forest C.,62850.0,62850.0,153.0,10.0,True,True,False,99.0,31763.0,31087.0,31502.0
Quinnipiac U.,67220.0,67220.0,139.0,2.0,True,True,False,99.0,36116.0,31104.0,31624.0
Gordon C.,52277.0,52277.0,146.0,9.0,True,True,False,100.0,21058.0,31219.0,31219.0
Howard U.,44630.0,44630.0,380.0,6.0,True,True,False,100.0,13380.0,31250.0,31250.0
Linfield C.,59452.0,59452.0,37.0,3.0,True,True,False,100.0,28022.0,31430.0,31430.0
Mills C.,48765.0,48765.0,6.0,1.0,True,True,False,100.0,17222.0,31543.0,31543.0
Beloit C.,62764.0,62764.0,212.0,18.0,True,True,False,100.0,31216.0,31548.0,31695.0
Auburn U.,31590.0,31590.0,1183.0,5.0,False,True,True,0.0,0.0,31590.0,31590.0
Kalamazoo C. ,63176.0,63176.0,85.0,6.0,True,True,False,95.0,31380.0,31796.0,33273.0
Agnes Scott C.,57505.0,57505.0,63.0,7.0,True,True,False,100.0,25591.0,31914.0,31914.0
Roanoke C.,62943.0,62943.0,47.0,2.0,True,True,False,100.0,30877.0,32066.0,32066.0
Eckerd C.,62094.0,62094.0,70.0,4.0,False,True,False,89.0,30007.0,32087.0,35516.0
Randolph C.,58661.0,58661.0,18.0,3.0,False,True,False,100.0,26551.0,32110.0,32110.0
U. of Cal. - Sta. Cruz,37186.0,37186.0,1394.0,8.0,True,True,False,68.0,4964.0,32222.0,33832.0
Sacred Heart U.,62880.0,62880.0,74.0,1.0,False,True,False,82.0,30603.0,32277.0,37653.0
Ithaca C.,64377.0,64377.0,113.0,2.0,True,True,False,93.0,32031.0,32346.0,34614.0
Duquesne U.,56680.0,56680.0,177.0,3.0,False,True,False,64.0,24209.0,32471.0,41088.0
Virginia Military Inst.,32634.0,32634.0,32.0,2.0,False,True,True,0.0,0.0,32634.0,32634.0
C. of St. Benedict,60788.0,60788.0,78.0,4.0,True,True,False,77.0,28073.0,32715.0,39193.0
C. of Wooster,63250.0,63250.0,290.0,15.0,True,True,False,98.0,30349.0,32901.0,33529.0
Saint John's U. - Minnesota,59474.0,59474.0,82.0,5.0,True,True,False,85.0,26353.0,33121.0,36978.0
U. of Massachusetts - Boston,33181.0,33181.0,1309.0,14.0,False,True,True,0.0,0.0,33181.0,33181.0
"Penn State U. - Erie, Behrend C.",33396.0,33396.0,355.0,9.0,False,True,True,0.0,0.0,33396.0,33396.0
Dickinson C.,74204.0,74204.0,325.0,14.0,True,True,False,76.0,40805.0,33399.0,43318.0
U. of Virginia,33493.0,33493.0,698.0,4.0,False,True,False,0.0,0.0,33493.0,33493.0
Ohio Northern U.,49392.0,49392.0,42.0,2.0,True,True,False,38.0,15887.0,33505.0,43340.0
Reed C.,75885.0,75885.0,142.0,10.0,True,True,False,29.0,42270.0,33615.0,63680.0
Lawrence U. ,62166.0,62166.0,181.0,13.0,True,True,False,99.0,28406.0,33760.0,34074.0
Lynn U.,57743.0,57743.0,384.0,19.0,False,True,False,58.0,23959.0,33784.0,43767.0
U. of Connecticut,34284.0,34284.0,1743.0,9.0,False,True,True,0.0,0.0,34284.0,34284.0
Manhattan C.,63160.0,63160.0,118.0,3.0,False,True,False,72.0,28789.0,34371.0,42422.0
